id,input_text,text_len,tts_latency_sec
0,i love star wars ! it ' s one of my favorite movies of all time . do you like star wars ?,89,1.7712750434875488
1,"i don ' t know how to reduce water use , but i do know that water is a source of energy .",89,1.4943974018096924
2,i ' m a big fan of action and drama movies . do you have a favorite genre of movies ?,85,1.434391736984253
3,"how do you do that ? i ' m not very good at math , but i know how to do it .",76,1.5238945484161377
4,i ' m not sure what you mean by that . are you referring to the cat ' s meowing ?,81,1.7627596855163574
5,i don ' t know how to do that . i ' m not very good at grammer .,64,1.8277668952941895
6,i ' m not sure what you mean by that . it ' s when the economy is less frictional .,83,1.464714527130127
7,"i ' m not sure what you mean by visual elements , but i think it ' s important to focus on the visual elements .",112,1.774705171585083
8,"i ' m not sure what you ' re asking me , but i ' ll tell you something .",72,1.7713258266448975
9,i ' m not sure what you ' re talking about . it ' s a network that uses a computer ' s memory .,95,1.6598761081695557
10,i don ' t think i ' ll be able to do that . i ' m scared of heights .,69,1.404059886932373
11,"i don ' t know about you , but i ' ve never been able to afford to go to school .",81,1.668452501296997
12,"i ' m not sure , but i know it ' s been a long time since i ' ve had an ecliptic .",82,1.4196925163269043
13,that ' s a good idea . i ' m not sure i have the patience for that yet .,72,2.0762791633605957
14,i ' m not sure what you mean by that . what is the word you ' re referring to ?,79,1.7397818565368652
15,i don ' t know . . . i ' m not sure what to say . i guess i ' ll just have to let it go .,89,1.8478419780731201
16,1 . don ' t shop online . 2 . save money . 3 . ? ? ? 4 . profit !,65,1.7534129619598389
17,"wow , that ' s a lot of numbers . do you know how many people have that number ?",80,1.467632532119751
18,1 . reduce the number of pollutants in the world . 2 . reduce greenhouse gas emissions . 3 . ? ? ? 4 . profit .,111,1.8211085796356201
19,a nuclear plant is a power plant that is used to power the world ' s largest solar system .,91,1.4339206218719482
20,i ' m not sure what you mean by that . are you referring to the fact that he had a hat ?,88,1.6190369129180908
21,i was born in the 90 ' s so i don ' t remember a lot of 90s music .,67,1.4142539501190186
22,"wow , that ' s a lot of words . i ' m sure you ' re a great writer .",68,1.431769609451294
23,i ' m not sure i understand what you ' re saying . what do you mean by that ?,77,1.496171474456787
24,"wow , that ' s a lot of apples . did you buy them fresh or fresh from the store ?",81,1.527179241
25,i don ' t know how to explain it to you . i ' m not sure what you mean .,72,1.874124526977539
26,"it ' s when you do something that you don ' t want to do , but you still want to .",82,1.589256763458252
27,i ' m not sure what you mean by that . are you talking about the difference between the two ?,93,1.7380897998809814
28,"i ' ve never been to north america , but i know that there are a lot of animals there .",87,1.5524413585662842
29,that ' s pretty cool . i ' ve never been to a store before . what did you buy ?,79,1.9000158309936523
30,i ' m not sure what you ' re talking about . do you mean the musical instrument of the same name ?,98,2.446449041366577
31,"that ' s a good idea , i ' ll try to do that . what do you do for fun ?",71,2.404822587966919
32,"i ' m not sure of the exact number , but i know it ' s somewhere between 3 and 6 .",82,2.1884257793426514
33,i have a 7 year old son and he loves to watch horror movies . what movie would you recommend ?,94,2.350414276123047
34,"i know a lot about software engineering , but i don ' t know much about it . what do you know about it ?",104,2.081300735473633
35,"i ' m not sure , but i do know that it was based on a novel by stephen king .",77,2.095029592514038
36,"i ' m not sure , but i do know that there are a lot of different kinds of animals .",83,2.7337210178375244
37,"i can ' t name 5 things , but i can tell you how to improve the air quality .",77,2.4518373012542725
38,"i don ' t know much about microwave ' s , but i do know that they ' ve been around for a long time .",100,1.8508944511413574
39,"i use instagram , facebook , and instagram . i also use facebook , instagram and facebook .",91,2.995377779006958
40,"i ' m not sure , but i do know that seattle is the most populous city in the united states .",92,2.2236409187316895
41,that sounds like a lot of work . what are you going to do with the rest of the four days ?,90,2.405560255050659
42,"i would love to do that , but i don ' t have a lot of time for it .",67,2.236360788345337
43,"wow , that ' s a lot of money . do you have any idea how much that would cost ?",79,2.075347423553467
44,"i ' m not sure of the exact numbers , but i know that the us has the highest population of any country in the world .",117,2.527806520462036
45,that ' s a great idea ! i ' ll have to try that . do you have a favorite topper ?,81,2.1518380641937256
46,"have you ever seen one in person ? i ' ve never seen it in person , but i ' d like to .",87,2.4968807697296143
47,i love summer . it ' s the best time of year to go out and enjoy the outdoors .,79,2.876434803009033
48,"i don ' t know about you , but i ' ve never heard of any of the five types .",76,2.3563783168792725
49,it ' s just a way to keep my identity secure . i ' m not sure why it matters .,78,1.9883017539978027
50,i think it ' s important to have a variety of colors in your design . i ' m not sure what you mean by that .,108,1.889554500579834
51,"i ' m not sure , but i do know that the united states is the most populous country in the world .",97,2.144451141357422
